RESPONDENT_ID,SURVEY_ID,CHOICE_SET,LABEL,CHOICE_INDICATOR,PACKAGE,RESPONDENT_IP_ADDRESS,RESPONDENT_CITY,RESPONDENT_REGION,RESPONDENT_POSTCODE,RESPONDENT_COUNTRY,RESPONDENT_TIME_OF_OPENING_SURVEY,RESPONDENT_TIME_OF_COMPLETING_SURVEY,RESPONDENT_DEVICE_USED_IN_SURVEY,RESPONDENT_LENGTH_OF_INTERVIEW_SECONDS,RESPONDENT_TOUCH_DEVICE_USED_IN_SURVEY,RESPONDENT_UNIQUE_CODE,VARIABLE_LOWER_ID,VARIABLE_ID,PARTICIPANT_STATUSINCLUDEINANALYSIS_ID,PARTICIPANT_STATUS_INCLUDED_IN_CURRENT_REPORT_ID,VARIABLE_LOWER_PANEL,VARIABLE_PANEL,PARTICIPANT_STATUSINCLUDEINANALYSIS_PANEL,PARTICIPANT_STATUS_INCLUDED_IN_CURRENT_REPORT_PANEL,Q1_WELCOME_O1_AGREE,Q1_WELCOME_O2_DISAGREE,Q2_INTRO_O1_YES,Q2_INTRO_O2_YUP,Q4_DIET_O1_OMNIVORE_MEAT_EATER,Q4_DIET_O2_REDUCETARIAN,Q4_DIET_O3_FLEXITARIAN,Q4_DIET_O4_SEMI_VEGETARIAN,Q4_DIET_O5_PESCETARIAN,Q4_DIET_O6_VEGETARIAN,Q4_DIET_O7_VEGAN,Q4_DIET_O8_OTHER,Q5_FINAL_COMMENTS
185269569,185269569,1,1,1,"package 1, 1:4lb",2600:387:1:811::4a,New Iberia,Louisiana,70562,United States,2023-03-25 04:27:07,2023-03-25 04:29:31,mobile,144,1,NULL,id,641e77df-906f-dfc3-edc7-653858d0cffd,1,1,panel,lc,1,1,1,0,1,0,0,0,0,0,0,1,0,0,
185269569,185269569,1,2,0,"package 1, meatier",2600:387:1:811::4a,New Iberia,Louisiana,70562,United States,2023-03-25 04:27:07,2023-03-25 04:29:31,mobile,144,1,NULL,id,641e77df-906f-dfc3-edc7-653858d0cffd,1,1,panel,lc,1,1,1,0,1,0,0,0,0,0,0,1,0,0,
185269569,185269569,2,1,0,"package 1, 1:4lb",2600:387:1:811::4a,New Iberia,Louisiana,70562,United States,2023-03-25 04:27:07,2023-03-25 04:29:31,mobile,144,1,NULL,id,641e77df-906f-dfc3-edc7-653858d0cffd,1,1,panel,lc,1,1,1,0,1,0,0,0,0,0,0,1,0,0,
185269569,185269569,2,2,1,"package 2, meatier",2600:387:1:811::4a,New Iberia,Louisiana,70562,United States,2023-03-25 04:27:07,2023-03-25 04:29:31,mobile,144,1,NULL,id,641e77df-906f-dfc3-edc7-653858d0cffd,1,1,panel,lc,1,1,1,0,1,0,0,0,0,0,0,1,0,0,
185269569,185269569,3,1,1,"package 2, meatier",2600:387:1:811::4a,New Iberia,Louisiana,70562,United States,2023-03-25 04:27:07,2023-03-25 04:29:31,mobile,144,1,NULL,id,641e77df-906f-dfc3-edc7-653858d0cffd,1,1,panel,lc,1,1,1,0,1,0,0,0,0,0,0,1,0,0,
185269569,185269569,3,2,0,"package 2, thick&juicy",2600:387:1:811::4a,New Iberia,Louisiana,70562,United States,2023-03-25 04:27:07,2023-03-25 04:29:31,mobile,144,1,NULL,id,641e77df-906f-dfc3-edc7-653858d0cffd,1,1,panel,lc,1,1,1,0,1,0,0,0,0,0,0,1,0,0,
185269569,185269569,4,1,0,"package 1, thick&juicy",2600:387:1:811::4a,New Iberia,Louisiana,70562,United States,2023-03-25 04:27:07,2023-03-25 04:29:31,mobile,144,1,NULL,id,641e77df-906f-dfc3-edc7-653858d0cffd,1,1,panel,lc,1,1,1,0,1,0,0,0,0,0,0,1,0,0,
185269569,185269569,4,2,1,"package 1, 1:4lb",2600:387:1:811::4a,New Iberia,Louisiana,70562,United States,2023-03-25 04:27:07,2023-03-25 04:29:31,mobile,144,1,NULL,id,641e77df-906f-dfc3-edc7-653858d0cffd,1,1,panel,lc,1,1,1,0,1,0,0,0,0,0,0,1,0,0,
185269569,185269569,5,1,1,"package 1, meatier",2600:387:1:811::4a,New Iberia,Louisiana,70562,United States,2023-03-25 04:27:07,2023-03-25 04:29:31,mobile,144,1,NULL,id,641e77df-906f-dfc3-edc7-653858d0cffd,1,1,panel,lc,1,1,1,0,1,0,0,0,0,0,0,1,0,0,
185269569,185269569,5,2,0,"package 1, thick&juicy",2600:387:1:811::4a,New Iberia,Louisiana,70562,United States,2023-03-25 04:27:07,2023-03-25 04:29:31,mobile,144,1,NULL,id,641e77df-906f-dfc3-edc7-653858d0cffd,1,1,panel,lc,1,1,1,0,1,0,0,0,0,0,0,1,0,0,
